state,min,max
AL,45,275
AK,56,442
AZ,187,240
AR,81,451
CA,40,450
CO,25,618
CT,15,724
DE,20,400
DC,50,444
FL,32,275
GA,55,365
HI,5,648
ID,72,448
IL,51,667
IN,37,390
IA,72,591
KS,122,488
KY,39,552
LA,10,247
ME,77,667
MD,50,430
MA,98,1234
MI,150,362
MN,28,740
MS,30,235
MO,35,320
MT,163,552
NE,70,440
NV,16,469
NH,32,427
NJ,120,713
NM,86,511
NY,104,504
NC,15,350
ND,43,618
OH,135,647
OK,16,539
OR,151,648
PA,68,580
PR,33,190
RI,53,732
SC,42,326
SD,28,414
TN,30,275
TX,69,521
UT,32,580
VT,72,513
VA,60,378
VI,33,602
WA,188,790
WV,24,424
WI,54,370
WY,36,508
